Class,Avg Hours Studied,Avg Grade
BIBC103,5.83,N/A
BIBC103,7.32,N/A
BIBC103,5.93,3.31
BIBC103,6.6,3.18
BIBC103,5.58,2.91
BIBC103,9.44,3.15
BIBC103,8.96,3.17
BIBC103,4.5,2.90
BIBC103,5.62,3.12
BIBC103,6.32,3.46
BIBC103,6.5,3.36
BIBC103,9.59,3.01
BIBC103,6.23,3.40
BIBC103,6.83,3.24
BIBC103,5.36,2.96
BIBC103,6.2,3.13
BIBC103,6.38,3.12
BIBC103,12.77,N/A
BIBC103,9.58,2.88
BIBC103,5.23,3.03
BIBC103,5.77,3.46
BIBC103,7.68,3.16
BIBC103,6.03,2.85
BIBC103,6.79,3.22
BIBC103,7.1,3.23
BIBC103,6.97,3.17
BIBC103,6.34,3.19
BIBC103,8.74,3.14
BIBC103,12.88,N/A
BIBC103,9.86,3.27
BIBC103,7.45,2.52
BIBC103,6.36,3.21
BIBC103,8.88,3.19
BIBC103,8.27,3.22
BIBC103,5.32,2.57
BIBC103,7.43,3.57
BIBC103,6.42,2.86
BIBC103,5.91,2.86
BIBC103,6.84,3.27
BIBC103,6.98,3.27
BIBC103,12.3,3.18
BIBC103,6.25,2.87
BIBC103,5.59,2.87
BIBC103,8.1,2.95
BIBC103,7.83,2.95
BIBC103,8.29,3.30
BIBC103,6.39,3.23
BIBC103,6.39,3.13
BIBC103,8.5,3.07
BIBC103,8.5,3.07
BIBC103,6.43,3.06
BIBC103,7.02,3.11
BIBC103,6.82,3.10
BIBC103,6.71,2.70
BIBC103,9.17,3.07
BIBC103,7.46,2.87
BIBC103,9.56,3.18
BIBC103,7.61,3.01
BIBC103,4.85,3.28
BIBC103,5.76,2.91
BIBC103,5.85,3.40
BIBC103,7.46,3.02
BIBC103,6.79,2.91
BIBC103,6.94,2.95
BIBC103,8.43,3.02
BIBC103,6.03,3.17
BIBC103,6.18,2.68
BIBC103,6.72,3.14
BIBC103,6.87,3.10
BIBC103,6.26,3.02
BIBC103,6.35,3.05
BIBC103,6.29,3.21
BIBC103,6.98,3.21
BIBC103,10.07,3.47
BIBC103,9.67,2.98
BIBC103,6.69,2.89
BIBC103,7.31,3.13
BIBC103,7.05,3.39
BIBC103,7.63,3.08
BIBC103,6.63,3.08
BIBC103,9.55,3.00
BIBC103,6.91,2.89
BIBC103,8.19,3.13
BIBC103,8.96,3.13
BIBC103,8.0,2.97
BIBC103,7.01,2.88
BIBC103,6.31,2.97
BIBC103,7.79,3.43
BIBC103,7.89,2.81
BIBC103,6.64,3.01
BIBC103,8.02,2.83
BIBC103,6.25,3.22
BIBC103,7.65,3.04
BIBC103,6.76,2.85
BIBC103,5.66,2.97
BIBC103,7.08,2.98
BIBC103,6.58,2.96
BIBC103,7.08,2.79
BIBC103,7.94,2.95
BIBC103,5.7,3.02
BIBC103,5.45,2.91
BIBC103,5.79,2.81
BIBC103,7.2,N/A
BIBC103,10.28,N/A
BIBC103,6.55,3.00
BIBC103,4.97,2.98
BIBC103,4.88,2.98
BIBC103,6.08,3.00
BIBC103,4.55,2.87
BIBC103,5.57,3.23
BIBC103,6.57,3.02
BIBC103,5.63,3.04
BIBC103,5.09,3.36
BIBC103,6.41,N/A
BIBC103,6.09,3.12
BIBC103,5.63,2.88
BIBC103,6.4,3.21
BIBC103,6.16,3.17
BIBC103,6.97,2.96
BIBC103,4.99,3.41
BIBC103,5.47,3.22
BIBC103,7.15,2.75
BIBC103,6.54,3.32
BIBC103,5.53,2.86
BIBC103,6.77,N/A

